GENESIS-Tabelle: 61111-0005
Verbraucherpreisindex: Deutschland, Jahre,;;;;;;;;;
Klassifikation der Verwendungszwecke des Individualkonsums;;;;;;;;;
(COICOP 2-/3-/4-/5-/10-Steller/Sonderpositionen);;;;;;;;;
Verbraucherpreisindex für Deutschland;;;;;;;;;
Deutschland;;;;;;;;;
Verbraucherpreisindex (2015=100);;;;;;;;;
;;2011;2012;2013;2014;2015;2016;2017;2018
CC13-01;Nahrungsmittel und alkoholfreie Getränke;91,6;94,7;98,3;99,4;100,0;100,8;103,6;106,0
CC13-02;Alkoholische Getränke und Tabakwaren;89,9;92,6;94,6;97,4;100,0;102,2;104,7;108,0
CC13-03;Bekleidung und Schuhe;96,0;98,0;99,1;100,1;100,0;100,8;101,4;101,7
CC13-04;Wohnung, Wasser, Strom, Gas und andere Brennstoffe;95,4;97,6;99,5;100,4;100,0;100,0;101,2;103,0
CC13-05;Möbel, Leuchten, Geräte u.a. Haushaltszubehör;97,3;98,0;98,9;99,3;100,0;100,6;101,1;101,8
CC13-06;Gesundheit;97,9;100,3;96,5;98,5;100,0;101,1;102,5;103,4
CC13-07;Verkehr;99,1;102,1;102,0;101,7;100,0;99,1;101,9;105,2
CC13-08;Post und Telekommunikation;106,1;104,2;102,7;101,4;100,0;98,8;97,6;96,6
CC13-09;Freizeit, Unterhaltung und Kultur;91,7;92,5;94,8;96,1;100,0;100,7;102,1;103,4
CC13-10;Bildungswesen;107,1;101,1;102,3;100,2;100,0;101,9;102,7;103,6
CC13-11;Gaststätten- und Beherbergungsdienstleistungen;91,3;93,1;95,3;97,3;100,0;102,2;104,4;106,7
CC13-12;Andere Waren und Dienstleistungen;94,7;95,6;97,2;98,9;100,0;102,2;102,4;103,6
__________
(C)opyright Statistisches Bundesamt (Destatis), 2020
Stand: 14.01.2020 / 16:36:27
